"family_name";"verschillende_genera";"verschillende_taxa"
"Scincidae";"118";"581"
"Hylidae";"49";"348"
"Bufonidae";"43";"219"
"Iguanidae";"19";"217"
"Colubridae";"75";"205"
"Gekkonidae";"42";"197"
"Ranidae";"24";"196"
"Strabomantidae";"8";"184"
"Vespertilionidae";"48";"173"
"Viperidae";"31";"166"
"Lacertidae";"35";"161"
"Muridae";"51";"142"
"Microhylidae";"38";"137"
"Cricetidae";"62";"136"
"Eleutherodactylidae";"3";"130"
"Rhacophoridae";"21";"120"
"Dendrobatidae";"19";"118"
"Sciuridae";"54";"109"
"Bovidae";"51";"108"
"Phasianidae";"43";"108"
"Plethodontidae";"22";"106"
"Leptodactylidae";"13";"104"
"Pteropodidae";"41";"104"
"Gymnophthalmidae";"35";"101"
"Psittacidae";"46";"97"
"Phrynosomatidae";"8";"88"
"Centrolenidae";"12";"87"
"Cercopithecidae";"22";"85"
"Phyllostomidae";"49";"84"
"Elapidae";"38";"83"
"Anatidae";"40";"78"
"Turdidae";"10";"78"
"Columbidae";"39";"75"
"Mantellidae";"11";"72"
"Accipitridae";"25";"70"
"Dicroglossidae";"11";"70"
"Salamandridae";"21";"70"
"Picidae";"28";"67"
"Meliphagidae";"36";"65"
"Typhlopidae";"12";"64"
"Fringillidae";"35";"63"
"Phyllodactylidae";"8";"63"
"Dasyuridae";"15";"59"
"Macrouridae";"15";"57"
"Geoemydidae";"17";"53"
"Megophryidae";"8";"52"
"Soricidae";"14";"52"
"Laridae";"21";"51"
"Craugastoridae";"7";"49"
"Teiidae";"16";"48"
"Chamaeleonidae";"6";"46"
"Phylloscopidae";"1";"46"
"Sphaerodactylidae";"8";"46"
"Cordylidae";"10";"45"
"Hynobiidae";"9";"45"
"Testudinidae";"17";"44"
"Echimyidae";"21";"43"
"Hemiphractidae";"6";"43"
"Scolopacidae";"15";"43"
"Hyperoliidae";"6";"41"
"Alsodidae";"6";"40"
"Felidae";"16";"40"
"Gobiidae";"23";"38"
"Leporidae";"10";"37"
"Rallidae";"20";"37"
