"family_name";"verschillende_genera";"verschillende_taxa"
"Leptotyphlopidae";"10";"35"
"Heteromyidae";"5";"34"
"Tenrecidae";"11";"34"
"Brachycephalidae";"2";"33"
"Didelphidae";"13";"32"
"Timaliidae";"15";"32"
"Cervidae";"19";"31"
"Mustelidae";"17";"31"
"Delphinidae";"17";"30"
"Estrildidae";"10";"30"
"Leuciscidae";"19";"30"
"Macropodidae";"13";"30"
"Talpidae";"18";"29"
"Acanthizidae";"13";"28"
"Ceratobatrachidae";"2";"28"
"Cheirogaleidae";"5";"28"
"Agamidae";"12";"27"
"Pycnonotidae";"13";"27"
"Strigidae";"12";"27"
"Icteridae";"19";"26"
"Leiothrichidae";"10";"25"
"Pyxicephalidae";"10";"25"
"Trochilidae";"20";"25"
"Ardeidae";"11";"24"
"Pipidae";"4";"24"
"Varanidae";"1";"24"
"Apodidae";"9";"23"
"Dipsadidae";"15";"23"
"Geomyidae";"6";"23"
"Lepilemuridae";"1";"23"
"Trogonidae";"6";"23"
"Uropeltidae";"7";"23"
"Canidae";"10";"22"
"Corvidae";"10";"22"
"Homalopsidae";"15";"22"
"Pelomedusidae";"2";"22"
"Phalacrocoracidae";"3";"22"
"Pythonidae";"8";"22"
"Alcidae";"10";"21"
"Gerrhosauridae";"7";"21"
"Charadriidae";"11";"20"
"Cebidae";"8";"19"
"Emydidae";"9";"19"
"Molossidae";"11";"19"
"Muscicapidae";"10";"19"
"Trionychidae";"11";"19"
"Tupaiidae";"5";"19"
"Anguidae";"9";"18"
"Ceratophryidae";"4";"18"
"Chelidae";"11";"18"
"Erinaceidae";"10";"18"
"Hipposideridae";"4";"18"
"Kinosternidae";"4";"18"
"Xantusiidae";"2";"18"
"Blenniidae";"11";"17"
"Phocidae";"12";"17"
"Spalacidae";"5";"17"
"Spheniscidae";"6";"17"
"Boidae";"11";"16"
"Cracidae";"10";"16"
"Indotyphlidae";"5";"16"
"Odontophoridae";"8";"16"
"Ramphastidae";"5";"16"
"Sylviidae";"11";"16"
"Labridae";"9";"15"
"Lamprophiidae";"11";"15"
"Rhinolophidae";"1";"15"
"Arthroleptidae";"6";"14"
"Brevicipitidae";"5";"14"
"Crocodylidae";"3";"14"
"Emballonuridae";"9";"14"
"Gliridae";"7";"14"
"Gruidae";"3";"14"
"Alepocephalidae";"7";"13"
"Bathyergidae";"6";"13"
"Chlamyphoridae";"8";"13"
"Diplodactylidae";"8";"13"
"Hirundinidae";"5";"13"
"Macroscelididae";"6";"13"
"Paridae";"10";"13"
"Thraupidae";"12";"13"
"Alytidae";"3";"12"
"Hydrophiidae";"5";"12"
"Hylobatidae";"4";"12"
"Leiosauridae";"3";"12"
"Passeridae";"7";"12"
"Salmonidae";"7";"12"
"Suidae";"6";"12"
"Vangidae";"12";"12"
"Ziphiidae";"6";"12"
"Equidae";"3";"11"
"Gadidae";"8";"11"
"Galagidae";"5";"11"
"Laniidae";"3";"11"
"Moridae";"6";"11"
"Procellariidae";"7";"11"
"Zosteropidae";"4";"11"
"Caviidae";"5";"10"
"Eublepharidae";"4";"10"
"Lemuridae";"5";"10"
"Mimidae";"7";"10"
"Otariidae";"6";"10"
"Petropedetidae";"3";"10"
"Phalangeridae";"5";"10"
"Pitheciidae";"5";"10"
"Potoroidae";"5";"10"
"Ptychadenidae";"1";"10"
"Threskiornithidae";"5";"10"
"Ursidae";"6";"10"
"Viverridae";"8";"10"
"Elephantidae";"4";"9"
"Falconidae";"1";"9"
"Ichthyophiidae";"3";"9"
"Maluridae";"4";"9"
"Merlucciidae";"2";"9"
"Peroryctidae";"4";"9"
"Scombridae";"7";"9"
"Serranidae";"2";"9"
"Balaenopteridae";"2";"8"
"Bombinatoridae";"1";"8"
"Cisticolidae";"6";"8"
"Cuculidae";"4";"8"
"Dipodidae";"8";"8"
"Hylodidae";"2";"8"
"Indriidae";"3";"8"
"Lorisidae";"5";"8"
"Manidae";"3";"8"
"Mormoopidae";"2";"8"
"Octodontidae";"5";"8"
"Petroicidae";"2";"8"
"Podocnemididae";"3";"8"
"Polychrotidae";"1";"8"
"Tinamidae";"5";"8"
"Tropidophiidae";"3";"8"
"Ambystomatidae";"1";"7"
"Atelidae";"3";"7"
"Cardinalidae";"5";"7"
"Centrarchidae";"4";"7"
"Clupeidae";"6";"7"
"Cycloramphidae";"3";"7"
"Dasypodidae";"1";"7"
"Echeneidae";"4";"7"
"Herpelidae";"2";"7"
"Herpestidae";"5";"7"
"Hystricidae";"3";"7"
"Muraenidae";"3";"7"
"Pelecanidae";"1";"7"
"Pelobatidae";"3";"7"
"Peramelidae";"4";"7"
"Poeciliidae";"3";"7"
"Sparidae";"6";"7"
"Syngnathidae";"4";"7"
"Tarsiidae";"3";"7"
"Alcedinidae";"5";"6"
"Capromyidae";"5";"6"
"Cheloniidae";"5";"6"
"Cobitidae";"3";"6"
"Ctenomyidae";"1";"6"
"Cyprinidae";"4";"6"
"Dactyloidae";"1";"6"
"Diomedeidae";"2";"6"
"Gasterosteidae";"4";"6"
"Hominidae";"4";"6"
"Jacanidae";"6";"6"
"Moschidae";"1";"6"
"Mugilidae";"3";"6"
"Phycidae";"2";"6"
"Podicipedidae";"3";"6"
"Pseudocheiridae";"4";"6"
"Rhinocerotidae";"5";"6"
"Stercorariidae";"1";"6"
"Sturnidae";"4";"6"
"Tetraodontidae";"4";"6"
"Zoarcidae";"1";"6"
"Acanthisittidae";"4";"5"
"Aegithalidae";"1";"5"
"Alligatoridae";"3";"5"
"Balistidae";"2";"5"
"Batrachylidae";"2";"5"
"Brachypteraciidae";"4";"5"
"Bucerotidae";"4";"5"
"Burramyidae";"2";"5"
"Camelidae";"3";"5"
"Caprimulgidae";"4";"5"
"Chrysochloridae";"4";"5"
"Ciconiidae";"2";"5"
"Coraciidae";"2";"5"
"Dermophiidae";"4";"5"
"Gaidropsaridae";"2";"5"
"Halosauridae";"3";"5"
"Limnodynastidae";"2";"5"
"Motacillidae";"2";"5"
"Myctophidae";"4";"5"
"Myobatrachidae";"2";"5"
"Otididae";"5";"5"
"Pleuronectidae";"5";"5"
"Ploceidae";"4";"5"
"Procyonidae";"4";"5"
"Pygopodidae";"4";"5"
"Recurvirostridae";"3";"5"
"Scorpaenidae";"3";"5"
"Siphonopidae";"3";"5"
"Sulidae";"2";"5"
"Tragulidae";"3";"5"
"Xenocyprididae";"4";"5"
"Xenodermatidae";"3";"5"
"Acipenseridae";"1";"4"
"Aotidae";"1";"4"
"Balaenidae";"2";"4"
"Bradypodidae";"1";"4"
"Burhinidae";"1";"4"
"Cacatuidae";"4";"4"
"Caeciliidae";"2";"4"
"Cathartidae";"4";"4"
"Certhiidae";"3";"4"
"Cerylidae";"3";"4"
"Chaetodontidae";"2";"4"
"Cottidae";"2";"4"
"Dasyproctidae";"2";"4"
"Emeidae";"1";"4"
"Gempylidae";"4";"4"
"Gobionidae";"3";"4"
"Haematopodidae";"1";"4"
"Istiophoridae";"2";"4"
"Lotidae";"3";"4"
"Megapodiidae";"3";"4"
"Nectariniidae";"4";"4"
"Ochotonidae";"1";"4"
"Odontobatrachidae";"1";"4"
"Parulidae";"4";"4"
"Passerellidae";"4";"4"
"Percidae";"2";"4"
"Pteroclidae";"2";"4"
"Scolecomorphidae";"2";"4"
"Synaphobranchidae";"3";"4"
"Tapiridae";"1";"4"
"Tayassuidae";"4";"4"
"Thinocoridae";"2";"4"
"Typhlonectidae";"4";"4"
"Alaudidae";"3";"3"
"Anarhichadidae";"1";"3"
"Anhimidae";"2";"3"
"Anomaluridae";"2";"3"
"Apterygidae";"1";"3"
"Atherinidae";"1";"3"
"Belonidae";"2";"3"
"Bipedidae";"1";"3"
"Callaeidae";"3";"3"
"Calyptocephalellidae";"2";"3"
"Carangidae";"3";"3"
"Cetomimidae";"3";"3"
"Coliidae";"1";"3"
"Cryptobranchidae";"2";"3"
"Ctenodactylidae";"2";"3"
"Dibamidae";"1";"3"
"Diodontidae";"2";"3"
"Fregatidae";"1";"3"
"Gaviidae";"1";"3"
"Glareolidae";"3";"3"
"Gobiesocidae";"2";"3"
"Ictaluridae";"2";"3"
"Leiopelmatidae";"1";"3"
"Locustellidae";"2";"3"
"Mephitidae";"3";"3"
"Mohoidae";"1";"3"
"Molidae";"3";"3"
"Mullidae";"2";"3"
"Musophagidae";"3";"3"
"Myrmecophagidae";"2";"3"
"Natalidae";"2";"3"
"Nemacheilidae";"1";"3"
"Nemichthyidae";"2";"3"
"Neomorphidae";"2";"3"
"Nesomyidae";"3";"3"
"Nettastomatidae";"3";"3"
"Notacanthidae";"2";"3"
"Nyctibatrachidae";"2";"3"
"Ophidiidae";"3";"3"
"Pellorneidae";"3";"3"
"Pelodytidae";"1";"3"
"Petauridae";"2";"3"
"Phaethontidae";"1";"3"
"Phocoenidae";"2";"3"
"Physeteridae";"2";"3"
"Platytroctidae";"3";"3"
"Pomacentridae";"3";"3"
"Proteidae";"2";"3"
"Prunellidae";"1";"3"
"Ranixalidae";"1";"3"
"Scophthalmidae";"2";"3"
"Sirenidae";"2";"3"
"Stomiidae";"3";"3"
"Thyropteridae";"1";"3"
"Trachipteridae";"2";"3"
"Tripterygiidae";"1";"3"
"Turnicidae";"1";"3"
"Tyrannidae";"3";"3"
"Vombatidae";"2";"3"
"Acheilognathidae";"1";"2"
"Acrobatidae";"2";"2"
"Allophrynidae";"1";"2"
"Ammodytidae";"1";"2"
"Amphisbaenidae";"2";"2"
"Amphiumidae";"1";"2"
"Anhingidae";"1";"2"
"Aphaniidae";"1";"2"
"Berycidae";"1";"2"
"Bombycillidae";"1";"2"
"Bregmacerotidae";"1";"2"
"Caenolestidae";"2";"2"
"Campephagidae";"2";"2"
"Caproidae";"2";"2"
"Carphodactylidae";"2";"2"
"Castoridae";"1";"2"
"Casuariidae";"1";"2"
"Centropidae";"1";"2"
"Chelydridae";"2";"2"
"Cichlidae";"2";"2"
"Climacteridae";"2";"2"
"Coccyzidae";"1";"2"
"Coryphaenidae";"1";"2"
"Crotophagidae";"1";"2"
"Cuniculidae";"1";"2"
"Cylindrophiidae";"1";"2"
"Derichthyidae";"2";"2"
"Dicamptodontidae";"1";"2"
"Dicruridae";"1";"2"
"Diretmidae";"2";"2"
"Erethizontidae";"2";"2"
"Fistulariidae";"1";"2"
"Gavialidae";"2";"2"
"Giraffidae";"2";"2"
"Heleophrynidae";"1";"2"
"Heliornithidae";"2";"2"
"Helodermatidae";"1";"2"
"Hemisotidae";"1";"2"
"Himantolophidae";"1";"2"
"Hippopotamidae";"2";"2"
"Hyaenidae";"2";"2"
"Kyphosidae";"1";"2"
"Lophiidae";"1";"2"
"Lybiidae";"2";"2"
"Megadermatidae";"2";"2"
"Megalonychidae";"1";"2"
"Melanocetidae";"1";"2"
"Melanonidae";"1";"2"
"Meropidae";"1";"2"
"Momotidae";"1";"2"
"Monarchidae";"1";"2"
"Monodontidae";"2";"2"
"Moronidae";"2";"2"
"Muraenesocidae";"2";"2"
"Muraenolepididae";"1";"2"
"Nasikabatrachidae";"1";"2"
"Neoscopelidae";"1";"2"
"Noctilionidae";"1";"2"
"Notoryctidae";"1";"2"
"Numididae";"2";"2"
"Nycteridae";"1";"2"
"Osmeridae";"1";"2"
"Paralepididae";"2";"2"
"Pardalotidae";"1";"2"
"Petromyzontidae";"2";"2"
"Phoenicopteridae";"1";"2"
"Platanistidae";"1";"2"
"Procaviidae";"2";"2"
"Psittaculidae";"2";"2"
"Psophiidae";"1";"2"
"Regulidae";"1";"2"
"Rheidae";"1";"2"
"Rhinodermatidae";"2";"2"
"Rhyacotritonidae";"1";"2"
"Rostratulidae";"2";"2"
"Sebastidae";"2";"2"
"Soleidae";"1";"2"
"Solenodontidae";"1";"2"
"Sooglossidae";"1";"2"
"Sphyraenidae";"1";"2"
"Tachyglossidae";"2";"2"
"Terapontidae";"2";"2"
"Tetragonuridae";"1";"2"
"Trachinidae";"2";"2"
"Trichiuridae";"2";"2"
"Trogonophidae";"2";"2"
"Tytonidae";"2";"2"
"Umbridae";"1";"2"
"Zeidae";"2";"2"
"Abrocomidae";"1";"1"
"Aepyornithidae";"1";"1"
"Agonidae";"1";"1"
"Ailuridae";"1";"1"
"Anguillidae";"1";"1"
"Aniliidae";"1";"1"
"Anomalepididae";"1";"1"
"Anomochilidae";"1";"1"
"Anoplogasteridae";"1";"1"
"Anseranatidae";"1";"1"
"Antilocapridae";"1";"1"
"Aphredoderidae";"1";"1"
"Aplodontiidae";"1";"1"
"Aramidae";"1";"1"
"Argentinidae";"1";"1"
"Artamidae";"1";"1"
"Ascaphidae";"1";"1"
"Atherinopsidae";"1";"1"
"Aulopidae";"1";"1"
"Balaenicipitidae";"1";"1"
"Blanidae";"1";"1"
"Bramidae";"1";"1"
"Calomyscidae";"1";"1"
"Carettochelyidae";"1";"1"
"Cariamidae";"1";"1"
"Centracanthidae";"1";"1"
"Centriscidae";"1";"1"
"Centrolophidae";"1";"1"
"Chaunacidae";"1";"1"
"Chiasmodontidae";"1";"1"
"Chikilidae";"1";"1"
"Chinchillidae";"1";"1"
"Chionididae";"1";"1"
"Clariidae";"1";"1"
"Congridae";"1";"1"
"Cyclopedidae";"1";"1"
"Cyclopteridae";"1";"1"
"Cyematidae";"1";"1"
"Cynocephalidae";"1";"1"
"Dactylopteridae";"1";"1"
"Danionidae";"1";"1"
"Dasyornithidae";"1";"1"
"Daubentoniidae";"1";"1"
"Dendrocolaptidae";"1";"1"
"Dermatemydidae";"1";"1"
"Dermochelyidae";"1";"1"
"Dicaeidae";"1";"1"
"Dinomyidae";"1";"1"
"Dinornithidae";"1";"1"
"Diploglossidae";"1";"1"
"Dromadidae";"1";"1"
"Dromaiidae";"1";"1"
"Dugongidae";"1";"1"
"Engraulidae";"1";"1"
"Epigonidae";"1";"1"
"Eschrichtiidae";"1";"1"
"Esocidae";"1";"1"
"Euclichthyidae";"1";"1"
"Eupleridae";"1";"1"
"Eurypharyngidae";"1";"1"
"Exocoetidae";"1";"1"
"Fundulidae";"1";"1"
"Furipteridae";"1";"1"
"Furnariidae";"1";"1"
"Galbulidae";"1";"1"
"Gigantactinidae";"1";"1"
"Grammicolepididae";"1";"1"
"Haemulidae";"1";"1"
"Hemiramphidae";"1";"1"
"Hydrochaeridae";"1";"1"
"Hyliotidae";"1";"1"
"Indicatoridae";"1";"1"
"Iniidae";"1";"1"
"Lampridae";"1";"1"
"Laonastidae";"1";"1"
"Leptochilichthyidae";"1";"1"
"Leptosomidae";"1";"1"
"Linophrynidae";"1";"1"
"Lipotidae";"1";"1"
"Loxocemidae";"1";"1"
"Luvaridae";"1";"1"
"Malaconotidae";"1";"1"
"Megalaimidae";"1";"1"
"Melanocharitidae";"1";"1"
"Menuridae";"1";"1"
"Mesitornithidae";"1";"1"
"Micrixalidae";"1";"1"
"Microbiotheriidae";"1";"1"
"Monognathidae";"1";"1"
"Mylodontidae";"1";"1"
"Myocastoridae";"1";"1"
"Myrmecobiidae";"1";"1"
"Mystacinidae";"1";"1"
"Nandiniidae";"1";"1"
"Neobalaenidae";"1";"1"
"Nomeidae";"1";"1"
"Notiomystidae";"1";"1"
"Notosudidae";"1";"1"
"Odobenidae";"1";"1"
"Odontobutidae";"1";"1"
"Ophichthidae";"1";"1"
"Opisthocomidae";"1";"1"
"Opisthoproctidae";"1";"1"
"Oreosomatidae";"1";"1"
"Ornithorhynchidae";"1";"1"
"Orycteropodidae";"1";"1"
"Osphronemidae";"1";"1"
"Palaeopropithecidae";"1";"1"
"Pandionidae";"1";"1"
"Pedetidae";"1";"1"
"Pedionomidae";"1";"1"
"Phascolarctidae";"1";"1"
"Pholidae";"1";"1"
"Pipridae";"1";"1"
"Pittidae";"1";"1"
"Platysternidae";"1";"1"
"Polynemidae";"1";"1"
"Polyprionidae";"1";"1"
"Pomatomidae";"1";"1"
"Pontoporiidae";"1";"1"
"Ptilonorhynchidae";"1";"1"
"Rachycentridae";"1";"1"
"Raphidae";"1";"1"
"Regalecidae";"1";"1"
"Rhinatrematidae";"1";"1"
"Rhineuridae";"1";"1"
"Rhinocryptidae";"1";"1"
"Rhinonycteridae";"1";"1"
"Rhinophrynidae";"1";"1"
"Rhinopomatidae";"1";"1"
"Rhipiduridae";"1";"1"
"Rhynochetidae";"1";"1"
"Rondeletiidae";"1";"1"
"Sagittariidae";"1";"1"
"Salangidae";"1";"1"
"Sciaenidae";"1";"1"
"Scopidae";"1";"1"
"Scotocercidae";"1";"1"
"Serrivomeridae";"1";"1"
"Shinisauridae";"1";"1"
"Sillaginidae";"1";"1"
"Siluridae";"1";"1"
"Sittidae";"1";"1"
"Sphenodontidae";"1";"1"
"Steatornithidae";"1";"1"
"Steindachneriidae";"1";"1"
"Stenostiridae";"1";"1"
"Stromateidae";"1";"1"
"Struthionidae";"1";"1"
"Stylephoridae";"1";"1"
"Synodontidae";"1";"1"
"Tanichthyidae";"1";"1"
"Tarsipedidae";"1";"1"
"Thamnophilidae";"1";"1"
"Thryonomyidae";"1";"1"
"Thylacinidae";"1";"1"
"Tincidae";"1";"1"
"Todidae";"1";"1"
"Trichechidae";"1";"1"
"Upupidae";"1";"1"
"Valenciidae";"1";"1"
"Vireonidae";"1";"1"
"Xenopeltidae";"1";"1"
"Xiphiidae";"1";"1"
